,ID,Title,Popularity,Release_Date,Vote_Average,Vote_Count
4381,284276,Cake,11.034,2014-09-07,6.3,556
4382,3036,Frankenstein,8.144,1994-11-04,6.3,529
4383,290751,Secret in Their Eyes,7.885,2015-10-14,6.3,641
4384,9529,Candyman,8.999,1992-09-11,6.3,494
4385,417859,Puss in Boots,8.692,2011-10-28,6.3,1323
4386,9490,Half Baked,7.888,1998-01-16,6.3,255
4387,315880,The Correspondence,5.391,2016-01-14,6.3,229
4388,123553,The Mortal Instruments: City of Bones,14.149,2013-08-21,6.3,2778
4389,3981,What Women Want,12.108,2000-12-15,6.3,1918
4390,9772,Air Force One,10.462,1997-07-25,6.3,1345
4391,26320,Taking Woodstock,6.958,2009-09-03,6.3,204
4392,13373,Millions,7.579,2005-04-08,6.3,159
4393,300668,Annihilation,24.707,2018-02-22,6.3,4177
4394,79643,Anche se è amore non si vede,4.999,2011-11-23,6.3,193
4395,2453,Harley Davidson and the Marlboro Man,7.971,1991-08-23,6.3,151
4396,26736,Wizards of Waverly Place: The Movie,8.097,2009-08-28,6.3,751
4397,3638,No Reservations,9.013,2007-07-25,6.3,547
4398,70821,Cyberbully,6.987,2011-07-16,6.3,328
4399,451500,Christmas & Co.,7.176,2017-12-06,6.3,310
4400,408540,Feather,4.498,2016-10-20,6.3,157
4401,4513,30 Days of Night,11.984,2007-10-17,6.3,1338
4402,262500,Insurgent,23.888,2015-03-18,6.3,6548
4403,39538,Contagion,7.434,2011-09-08,6.3,2045
4404,9805,Dreamship Surprise - Period 1,6.976,2004-07-14,6.3,212
4405,584,2 Fast 2 Furious,3.255,2003-06-05,6.3,3524
4406,11395,The Santa Clause,11.283,1994-11-10,6.3,956
4407,10699,Hero,7.313,1992-10-02,6.3,177
4408,341013,Atomic Blonde,15.44,2017-07-26,6.3,3488
4409,692,Pink Flamingos,5.482,1972-03-12,6.3,188
4410,199373,The Frozen Ground,8.184,2013-07-18,6.3,744
4411,9681,Casanova,7.043,2005-12-25,6.3,394
4412,16899,Easy Virtue,6.684,2008-01-01,6.3,189
4413,121674,Great Expectations,6.414,2012-11-30,6.3,183
4414,4233,Scream 2,10.458,1997-12-09,6.3,1562
4415,245703,Midnight Special,9.382,2016-02-18,6.3,1062
4416,334521,Free Fire,8.575,2017-03-31,6.3,516
4417,198287,After the Dark,5.412,2013-07-06,6.3,419
4418,1378,Shortbus,9.977,2006-05-20,6.3,223
